1732389559.1459503, Other, 8c:ec:7b:8e:07:14, 33:33:00:00:00:fb, , , , , 120
1732389559.9639459, UDP, ae:a9:bc:73:64:75, 01:00:5e:7f:ff:fa, 192.168.1.102, 239.255.255.250, 56144, 1900, 167
1732389560.0669463, UDP, ae:a9:bc:73:64:75, 01:00:5e:7f:ff:fa, 192.168.1.102, 239.255.255.250, 56144, 1900, 167
1732389560.1699576, UDP, ae:a9:bc:73:64:75, 01:00:5e:7f:ff:fa, 192.168.1.102, 239.255.255.250, 56144, 1900, 167
1732389560.3739555, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 39079, 1900, 290
1732389560.476946, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 39079, 1900, 279
1732389560.476946, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 39079, 1900, 346
1732389560.5789468, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 39079, 1900, 344
1732389560.5789468, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 39079, 1900, 356
1732389560.6819556, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 39079, 1900, 354
1732389560.8859558, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 39079, 1900, 290
1732389560.9889693, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 39079, 1900, 279
1732389560.9889693, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 39079, 1900, 346
1732389561.09065, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 39079, 1900, 344
1732389561.0916507, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 39079, 1900, 356
1732389561.0916507, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 39079, 1900, 354
1732389561.39805, UDP, 4c:a9:19:75:fb:25, ff:ff:ff:ff:ff:ff, 192.168.1.114, 255.255.255.255, 49566, 6667, 214
1732389561.4892411, TCP, 14:13:33:73:1a:5b, 16:eb:dd:10:32:d5, 192.168.1.103, 192.168.1.106, 57538, 8009, 164
1732389561.5062606, TCP, 16:eb:dd:10:32:d5, 14:13:33:73:1a:5b, 192.168.1.106, 192.168.1.103, 8009, 57538, 164
1732389561.5514622, TCP, 14:13:33:73:1a:5b, 16:eb:dd:10:32:d5, 192.168.1.103, 192.168.1.106, 57538, 8009, 54
1732389561.8530686, TCP, 14:13:33:73:1a:5b, 12:02:71:fe:ea:29, 192.168.1.103, 74.125.71.188, 57533, 5228, 55
1732389561.9620693, TCP, 12:02:71:fe:ea:29, 14:13:33:73:1a:5b, 74.125.71.188, 192.168.1.103, 5228, 57533, 66
1732389563.1390605, UDP, a8:80:55:ef:95:09, ff:ff:ff:ff:ff:ff, 192.168.1.115, 255.255.255.255, 53813, 6667, 214
1732389563.1390605, UDP, ae:a9:bc:73:64:75, 01:00:5e:00:00:fb, 192.168.1.102, 224.0.0.251, 5353, 5353, 91
1732389563.1400611, Other, ae:a9:bc:73:64:75, 33:33:00:00:00:fb, , , , , 111
1732389563.343119, UDP, ae:a9:bc:73:64:75, 01:00:5e:7f:ff:fa, 192.168.1.102, 239.255.255.250, 56144, 1900, 167
1732389563.3441205, UDP, ae:a9:bc:73:64:75, 01:00:5e:7f:ff:fa, 192.168.1.102, 239.255.255.250, 56144, 1900, 167
1732389563.4464054, UDP, ae:a9:bc:73:64:75, 01:00:5e:7f:ff:fa, 192.168.1.102, 239.255.255.250, 56144, 1900, 167
1732389564.0606747, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50159, 1900, 290
1732389564.0606747, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50159, 1900, 279
1732389564.0616744, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50159, 1900, 346
1732389564.162831, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50159, 1900, 344
1732389564.1638317, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50159, 1900, 356
1732389564.2658334, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50159, 1900, 354
1732389564.5728872, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50159, 1900, 290
1732389564.5728872, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50159, 1900, 279
1732389564.573882, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50159, 1900, 346
1732389564.6758735, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50159, 1900, 344
1732389564.6758735, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50159, 1900, 356
1732389564.776882, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50159, 1900, 354
1732389565.2888772, UDP, ae:a9:bc:73:64:75, 01:00:5e:7f:ff:fa, 192.168.1.102, 239.255.255.250, 57168, 1900, 167
1732389565.3918724, UDP, ae:a9:bc:73:64:75, 01:00:5e:7f:ff:fa, 192.168.1.102, 239.255.255.250, 57168, 1900, 167
1732389565.493897, UDP, ae:a9:bc:73:64:75, 01:00:5e:7f:ff:fa, 192.168.1.102, 239.255.255.250, 57168, 1900, 167
1732389566.313873, UDP, 4c:a9:19:75:fb:25, ff:ff:ff:ff:ff:ff, 192.168.1.114, 255.255.255.255, 49566, 6667, 214
1732389566.5118725, TCP, 14:13:33:73:1a:5b, 16:eb:dd:10:32:d5, 192.168.1.103, 192.168.1.106, 57538, 8009, 164
1732389566.6248732, TCP, 16:eb:dd:10:32:d5, 14:13:33:73:1a:5b, 192.168.1.106, 192.168.1.103, 8009, 57538, 164
1732389566.6708727, TCP, 14:13:33:73:1a:5b, 16:eb:dd:10:32:d5, 192.168.1.103, 192.168.1.106, 57538, 8009, 54
1732389567.644802, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 42278, 1900, 290
1732389567.644802, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 42278, 1900, 279
